step,train_loss,val_loss
1,3.44293372631073,3.4435365200042725
50,1.926212990283966,1.9294608235359192
100,1.1713191509246825,1.1781937718391418
150,0.6601993262767791,0.663071608543396
200,0.3646557658910751,0.3600278586149216
250,0.21191362738609315,0.21091464757919312
300,0.13524632006883622,0.13297099620103836
350,0.09764790907502174,0.09678518176078796
400,0.07189530357718468,0.07271912768483162
450,0.0648497473448515,0.06456610150635242
500,0.05924607776105404,0.06028639264404774
550,0.05537957362830639,0.05607169233262539
600,0.05308699905872345,0.05413507185876369
